score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#optim|count=36|time=2024-05-10T04:08:02
100.0,9539.0,Go,1540661475055,1760921,[Leonardone]-[-_-]-[NEETSDKASU],JP,10001057268421,
100.0,9515.0,Go,1541677482786,2007852,Zorg1,FR,16542412157988,
100.0,9015.0,Go,1540407053568,837350,BorisZ,RU,4405751597540,
100.0,8961.0,Go,1595689694963,1484839,sparky,GB,41934483411733,
100.0,8357.0,Go,1540382369387,2463909,ckobayashi,BR,17151558197084,
100.0,7834.0,Go,1574096324582,2115491,Haashi,FR,13769252859943,
100.0,5899.0,Go,1619639801282,1952778,blast_beat,US,75539748345771,
100.0,5331.0,Go,1651752069929,4154326,montplusa,JP,60315000863420,
100.0,5302.0,Go,1601894542569,2837654,R2B2,FR,,
100.0,4458.0,Go,1598542235808,2420671,Irioth,RU,16682609387213,
100.0,3756.0,Go,1654889967129,4870604,willbeason,US,82827182662813,
100.0,2951.0,Go,1685011719380,3236959,sidyakina,AM,25768652080396,
100.0,2888.0,Go,1540402827216,2687239,Baltilius,BG,63486183408550,
100.0,2784.0,Go,1654416751338,1067069,Reiska,FI,15476331321584,
100.0,1721.0,Go,1713139549917,4015187,Phk13,ES,52052408346970,
100.0,1686.0,Go,1663425928175,3800561,NicoDelp,FR,67388520391904,
100.0,1274.0,Go,1596949363784,1599552,FlyingRatBull,DE,7666783174287,
100.0,1174.0,Go,1680640402723,4179938,fellas,IR,102612243563321,
100.0,1045.0,Go,1540387324933,2908540,19834,US,,
100.0,1045.0,Go,1543245988374,2597953,Bitgamer369,US,18461093707125,
100.0,1045.0,Go,1602023829174,3946057,kvitebjorn,CA,118985367121874,
100.0,1045.0,Go,1641502624634,4680338,UnLegendaryNoob,US,76152703402076,
100.0,1045.0,Go,1646541305176,4775129,Vishesh-the-coder,IN,,
100.0,1045.0,Go,1653926765927,4588175,NeilNaveen,US,,
100.0,1045.0,Go,1670511702247,5224048,Deebadmon,US,,
100.0,1045.0,Go,1674062809190,5283968,its0me0Nick,US,96863202739572,
100.0,1045.0,Go,1677339589856,5358028,Grozovest,RU,99278747433505,
100.0,1045.0,Go,1679830616881,5317192,AlbanFredon,FR,97967166329297,
100.0,1045.0,Go,1701272193786,903179,maksmas,EE,101274743228150,
100.0,1045.0,Go,1702404859787,5854561,Ahmedthecoder,CA,,
100.0,1045.0,Go,1704684182102,5906971,womp womp,US,,
100.0,1045.0,Go,1707620706651,5955770,Thepumpkinking,US,,
100.0,1045.0,Go,1712587985217,6037343,KrepkiyOrex,RU,121784800639568,
100.0,1002.0,Go,1668239681859,1653268,YikeyYikes,ZA,10995117737856,
100.0,584.0,Go,1547849547711,1427970,Garadox,US,11122902988985,
100.0,581.0,Go,1680276345729,827741,MuineXD,FR,17535606348585,
